ocel:eid,ocel:activity,ocel:timestamp,lifecycle,dur_s,lot_id,slot_no,eqp_id,module_id,srcmoduleid,dstmoduleid,state,area
e1,PURGE_START,2026-01-01 08:00:00,start,0.0,,,EQP_LP,LP3,,,PURGE,LP
e2,PURGE_END,2026-01-01 08:05:42,complete,342.0,,,EQP_LP,LP3,,,PURGE,LP
e3,PURGE_START,2026-01-01 08:06:00,start,0.0,,,EQP_LP,LP3,,,PURGE,LP
e4,PURGE_END,2026-01-01 08:09:59,complete,239.0,,,EQP_LP,LP3,,,PURGE,LP
e5,PURGE_START,2026-01-01 08:10:00,start,0.0,,,EQP_LP,LP1,,,PURGE,LP
e6,PURGE_END,2026-01-01 08:12:32,complete,152.0,,,EQP_LP,LP1,,,PURGE,LP
e7,PURGE_START,2026-01-01 08:17:00,start,0.0,,,EQP_LP,LP3,,,PURGE,LP
e8,PURGE_END,2026-01-01 08:18:14,complete,74.0,,,EQP_LP,LP3,,,PURGE,LP
e9,PURGE_START,2026-01-01 08:21:00,start,0.0,,,EQP_LP,LP3,,,PURGE,LP
e10,PURGE_END,2026-01-01 08:23:46,complete,166.0,,,EQP_LP,LP3,,,PURGE,LP
e11,PURGE_START,2026-01-01 08:25:00,start,0.0,,,EQP_LP,LP1,,,PURGE,LP
e12,PURGE_END,2026-01-01 08:27:11,complete,131.0,,,EQP_LP,LP1,,,PURGE,LP
e13,PURGE_START,2026-01-01 08:32:00,start,0.0,,,EQP_LP,LP1,,,PURGE,LP
e14,PURGE_END,2026-01-01 08:33:20,complete,80.0,,,EQP_LP,LP1,,,PURGE,LP
e15,CHAMBER_CLEAN_START,2026-01-01 08:35:00,start,0.0,,,EQP_LP,LP3,,,CHAMBER_CLEAN,LP
e16,CHAMBER_CLEAN_END,2026-01-01 08:37:42,complete,162.0,,,EQP_LP,LP3,,,CHAMBER_CLEAN,LP
e17,CHAMBER_CLEAN_START,2026-01-01 08:41:00,start,0.0,,,EQP_LP,LP1,,,CHAMBER_CLEAN,LP
e18,CHAMBER_CLEAN_END,2026-01-01 08:44:01,complete,181.0,,,EQP_LP,LP1,,,CHAMBER_CLEAN,LP
e19,CHAMBER_CLEAN_START,2026-01-01 08:45:00,start,0.0,,,EQP_LP,LP1,,,CHAMBER_CLEAN,LP
e20,CHAMBER_CLEAN_END,2026-01-01 08:47:14,complete,134.0,,,EQP_LP,LP1,,,CHAMBER_CLEAN,LP
e21,PURGE_START,2026-01-01 08:51:00,start,0.0,,,EQP_LP,LP2,,,PURGE,LP
e22,PURGE_END,2026-01-01 08:53:27,complete,147.0,,,EQP_LP,LP2,,,PURGE,LP
e23,PURGE_START,2026-01-01 08:56:00,start,0.0,,,EQP_LP,LP1,,,PURGE,LP
e24,PURGE_END,2026-01-01 08:58:56,complete,176.0,,,EQP_LP,LP1,,,PURGE,LP
e25,PURGE_START,2026-01-01 09:01:00,start,0.0,,,EQP_LP,LP1,,,PURGE,LP
e26,PURGE_END,2026-01-01 09:03:39,complete,159.0,,,EQP_LP,LP1,,,PURGE,LP
e27,CHAMBER_CLEAN_START,2026-01-01 09:06:00,start,0.0,,,EQP_LP,LP2,,,CHAMBER_CLEAN,LP
e28,CHAMBER_CLEAN_END,2026-01-01 09:08:43,complete,163.0,,,EQP_LP,LP2,,,CHAMBER_CLEAN,LP
e29,CHAMBER_CLEAN_START,2026-01-01 09:12:00,start,0.0,,,EQP_LP,LP1,,,CHAMBER_CLEAN,LP
e30,CHAMBER_CLEAN_START,2026-01-01 09:15:00,start,0.0,,,EQP_LP,LP3,,,CHAMBER_CLEAN,LP
e31,CHAMBER_CLEAN_END,2026-01-01 09:15:31,complete,211.0,,,EQP_LP,LP1,,,CHAMBER_CLEAN,LP
e32,CHAMBER_CLEAN_END,2026-01-01 09:18:10,complete,190.0,,,EQP_LP,LP3,,,CHAMBER_CLEAN,LP
e33,CHAMBER_CLEAN_START,2026-01-01 09:22:00,start,0.0,,,EQP_LP,LP1,,,CHAMBER_CLEAN,LP
e34,CHAMBER_CLEAN_END,2026-01-01 09:25:29,complete,209.0,,,EQP_LP,LP1,,,CHAMBER_CLEAN,LP
e35,CHAMBER_CLEAN_START,2026-01-01 09:27:00,start,0.0,,,EQP_LP,LP3,,,CHAMBER_CLEAN,LP
e36,CHAMBER_CLEAN_END,2026-01-01 09:28:52,complete,112.0,,,EQP_LP,LP3,,,CHAMBER_CLEAN,LP
e37,PURGE_START,2026-01-01 09:30:00,start,0.0,,,EQP_LP,LP3,,,PURGE,LP
e38,PURGE_END,2026-01-01 09:31:01,complete,61.0,,,EQP_LP,LP3,,,PURGE,LP
e39,PURGE_START,2026-01-01 09:37:00,start,0.0,,,EQP_LP,LP1,,,PURGE,LP
e40,PURGE_END,2026-01-01 09:39:27,complete,147.0,,,EQP_LP,LP1,,,PURGE,LP
e41,PURGE_START,2026-01-01 09:40:00,start,0.0,,,EQP_LP,LP2,,,PURGE,LP
e42,PURGE_END,2026-01-01 09:43:37,complete,217.0,,,EQP_LP,LP2,,,PURGE,LP
