eqp_id,module_id,module_type,state,area,start_time,end_time,lot_id,slot_no,srcmoduleid,dstmoduleid,srcmoduletype,dstmoduletype
EQP_LP,LP3,Loadport,PURGE,LP,2026-01-01 08:00:00,2026-01-01 08:05:42,,,,,,
EQP_LP,LP3,Loadport,PURGE,LP,2026-01-01 08:06:00,2026-01-01 08:09:59,,,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:08,2026-01-01 08:07:18,L1001,1.0,PST2,LP1,PST,Loadport
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:16,2026-01-01 08:07:21,L1001,2.0,PST1,LP2,PST,Loadport
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:24,2026-01-01 08:07:40,L1001,3.0,PST2,LP3,PST,Loadport
EQP_LP,LP1,Loadport,CLAMP_ON,LP,2026-01-01 08:07:25,2026-01-01 08:07:43,L1001,1.0,,,,
EQP_LP,LP2,Loadport,CLAMP_ON,LP,2026-01-01 08:07:27,2026-01-01 08:07:44,L1001,2.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:32,2026-01-01 08:07:37,L1001,4.0,PST1,LP1,PST,Loadport
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:40,2026-01-01 08:07:46,L1001,5.0,PST2,LP2,PST,Loadport
EQP_LP,LP1,Loadport,CLAMP_ON,LP,2026-01-01 08:07:44,2026-01-01 08:07:54,L1001,4.0,,,,
EQP_LP,LP3,Loadport,CLAMP_ON,LP,2026-01-01 08:07:47,2026-01-01 08:08:05,L1001,3.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:47,2026-01-01 08:08:20,L1001,1.0,LP1,PM1,Loadport,PM
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:48,2026-01-01 08:07:54,L1001,6.0,PST1,LP3,PST,Loadport
EQP_LP,LP2,Loadport,CLAMP_ON,LP,2026-01-01 08:07:48,2026-01-01 08:08:03,L1001,5.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:50,2026-01-01 08:08:17,L1001,2.0,LP2,PM2,Loadport,PM
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:56,2026-01-01 08:08:10,L1001,7.0,PST2,LP1,PST,Loadport
EQP_XFER,,,PUT,XFER,2026-01-01 08:07:58,2026-01-01 08:08:10,L1001,4.0,LP1,PM1,Loadport,PM
EQP_LP,LP3,Loadport,CLAMP_ON,LP,2026-01-01 08:07:58,2026-01-01 08:08:13,L1001,6.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:04,2026-01-01 08:08:16,L1001,8.0,PST1,LP2,PST,Loadport
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:10,2026-01-01 08:08:24,L1001,5.0,LP2,PM2,Loadport,PM
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:12,2026-01-01 08:08:22,L1001,9.0,PST2,LP3,PST,Loadport
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:12,2026-01-01 08:08:44,L1001,3.0,LP3,PM3,Loadport,PM
EQP_LP,LP1,Loadport,CLAMP_ON,LP,2026-01-01 08:08:13,2026-01-01 08:08:21,L1001,7.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:16,2026-01-01 08:08:44,L1001,6.0,LP3,PM3,Loadport,PM
EQP_PM,PM1,PM,RECIPE_RUN,PROC,2026-01-01 08:08:16,2026-01-01 08:18:26,L1001,4.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:20,2026-01-01 08:08:30,L1001,10.0,PST1,LP1,PST,Loadport
EQP_PM,PM2,PM,RECIPE_RUN,PROC,2026-01-01 08:08:22,2026-01-01 08:15:25,L1001,2.0,,,,
EQP_LP,LP2,Loadport,CLAMP_ON,LP,2026-01-01 08:08:23,2026-01-01 08:08:42,L1001,8.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:24,2026-01-01 08:08:48,L1001,7.0,LP1,PM1,Loadport,PM
EQP_PM,PM1,PM,RECIPE_RUN,PROC,2026-01-01 08:08:25,2026-01-01 08:15:51,L1001,1.0,,,,
EQP_LP,LP3,Loadport,CLAMP_ON,LP,2026-01-01 08:08:26,2026-01-01 08:08:40,L1001,9.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:28,2026-01-01 08:08:38,L1001,11.0,PST2,LP2,PST,Loadport
EQP_PM,PM2,PM,RECIPE_RUN,PROC,2026-01-01 08:08:32,2026-01-01 08:20:11,L1001,5.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:36,2026-01-01 08:08:43,L1001,12.0,PST1,LP3,PST,Loadport
EQP_LP,LP1,Loadport,CLAMP_ON,LP,2026-01-01 08:08:37,2026-01-01 08:08:53,L1001,10.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:43,2026-01-01 08:09:16,L1001,9.0,LP3,PM3,Loadport,PM
EQP_LP,LP2,Loadport,CLAMP_ON,LP,2026-01-01 08:08:44,2026-01-01 08:08:53,L1001,11.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:44,2026-01-01 08:09:00,L1001,13.0,PST2,LP1,PST,Loadport
EQP_LP,LP3,Loadport,CLAMP_ON,LP,2026-01-01 08:08:45,2026-01-01 08:08:58,L1001,12.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:47,2026-01-01 08:09:17,L1001,8.0,LP2,PM2,Loadport,PM
EQP_PM,PM3,PM,RECIPE_RUN,PROC,2026-01-01 08:08:47,2026-01-01 08:20:45,L1001,6.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:52,2026-01-01 08:09:09,L1001,14.0,PST1,LP2,PST,Loadport
EQP_PM,PM3,PM,RECIPE_RUN,PROC,2026-01-01 08:08:52,2026-01-01 08:17:30,L1001,3.0,,,,
EQP_PM,PM1,PM,RECIPE_RUN,PROC,2026-01-01 08:08:54,2026-01-01 08:21:06,L1001,7.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:08:58,2026-01-01 08:09:14,L1001,10.0,LP1,PM1,Loadport,PM
EQP_XFER,,,PUT,XFER,2026-01-01 08:09:00,2026-01-01 08:09:13,L1001,15.0,PST2,LP3,PST,Loadport
EQP_XFER,,,PUT,XFER,2026-01-01 08:09:00,2026-01-01 08:09:26,L1001,11.0,LP2,PM2,Loadport,PM
EQP_XFER,,,PUT,XFER,2026-01-01 08:09:02,2026-01-01 08:09:36,L1001,12.0,LP3,PM3,Loadport,PM
EQP_LP,LP1,Loadport,CLAMP_ON,LP,2026-01-01 08:09:06,2026-01-01 08:09:12,L1001,13.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:09:08,2026-01-01 08:09:16,L1001,16.0,PST1,LP1,PST,Loadport
EQP_LP,LP2,Loadport,CLAMP_ON,LP,2026-01-01 08:09:15,2026-01-01 08:09:26,L1001,14.0,,,,
EQP_XFER,,,PUT,XFER,2026-01-01 08:09:15,2026-01-01 08:09:27,L1001,13.0,LP1,PM1,Loadport,PM
EQP_XFER,,,PUT,XFER,2026-01-01 08:09:16,2026-01-01 08:09:22,L1001,17.0,PST2,LP2,PST,Loadport
EQP_PM,PM1,PM,RECIPE_RUN,PROC,2026-01-01 08:09:17,2026-01-01 08:20:40,L1001,10.0,,,,
EQP_LP,LP1,Loadport,CLAMP_ON,LP,2026-01-01 08:09:18,2026-01-01 08:09:37,L1001,16.0,,,,
