ocel:eid,ocel:oid,ocel:qualifier
e1,EQP_LP,ON_EQUIPMENT
e1,LP3,USES_MODULE
e2,EQP_LP,ON_EQUIPMENT
e2,LP3,USES_MODULE
e3,EQP_LP,ON_EQUIPMENT
e3,LP3,USES_MODULE
e4,EQP_LP,ON_EQUIPMENT
e4,LP3,USES_MODULE
e5,EQP_LP,ON_EQUIPMENT
e5,LP1,USES_MODULE
e6,EQP_LP,ON_EQUIPMENT
e6,LP1,USES_MODULE
e7,EQP_LP,ON_EQUIPMENT
e7,LP3,USES_MODULE
e8,EQP_LP,ON_EQUIPMENT
e8,LP3,USES_MODULE
e9,EQP_LP,ON_EQUIPMENT
e9,LP3,USES_MODULE
e10,EQP_LP,ON_EQUIPMENT
e10,LP3,USES_MODULE
e11,EQP_LP,ON_EQUIPMENT
e11,LP1,USES_MODULE
e12,EQP_LP,ON_EQUIPMENT
e12,LP1,USES_MODULE
e13,EQP_LP,ON_EQUIPMENT
e13,LP1,USES_MODULE
e14,EQP_LP,ON_EQUIPMENT
e14,LP1,USES_MODULE
e15,EQP_LP,ON_EQUIPMENT
e15,LP3,USES_MODULE
e16,EQP_LP,ON_EQUIPMENT
e16,LP3,USES_MODULE
e17,EQP_LP,ON_EQUIPMENT
e17,LP1,USES_MODULE
e18,EQP_LP,ON_EQUIPMENT
e18,LP1,USES_MODULE
e19,EQP_LP,ON_EQUIPMENT
e19,LP1,USES_MODULE
e20,EQP_LP,ON_EQUIPMENT
e20,LP1,USES_MODULE
e21,EQP_LP,ON_EQUIPMENT
e21,LP2,USES_MODULE
e22,EQP_LP,ON_EQUIPMENT
e22,LP2,USES_MODULE
e23,EQP_LP,ON_EQUIPMENT
e23,LP1,USES_MODULE
e24,EQP_LP,ON_EQUIPMENT
e24,LP1,USES_MODULE
e25,EQP_LP,ON_EQUIPMENT
e25,LP1,USES_MODULE
e26,EQP_LP,ON_EQUIPMENT
e26,LP1,USES_MODULE
e27,EQP_LP,ON_EQUIPMENT
e27,LP2,USES_MODULE
e28,EQP_LP,ON_EQUIPMENT
e28,LP2,USES_MODULE
e29,EQP_LP,ON_EQUIPMENT
e29,LP1,USES_MODULE
e30,EQP_LP,ON_EQUIPMENT
e30,LP3,USES_MODULE
e31,EQP_LP,ON_EQUIPMENT
e31,LP1,USES_MODULE
e32,EQP_LP,ON_EQUIPMENT
e32,LP3,USES_MODULE
e33,EQP_LP,ON_EQUIPMENT
